Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    9.24776,  -173.75,    10.8151,    83.12,    12.5322,   -50.94,          0,     0.00, 8.5963E-007,    33.69,    9.24776,     6.25,    10.8151,   -96.88,    12.5322,   129.06,          0,     0.00, 8.5963E-007,  -146.31
Line.650632,    315.295,   -22.00,     211.65,  -128.22,    335.645,   102.03,          0,     0.00,    101.422,    25.64,    315.298,   158.00,     211.65,    51.78,    335.647,   -77.97,          0,     0.00,    101.423,  -154.36
Line.632670,    253.315,   -18.28,    77.2966,   -86.24,    256.565,   114.04,          0,     0.00,    161.075,    28.86,    253.316,   161.72,     77.295,    93.76,    256.566,   -65.96,          0,     0.00,    161.075,  -151.14
Line.670671,    247.069,   -17.90,    70.3735,   -67.95,    217.309,   119.21,          0,     0.00,    162.853,    17.32,    247.071,   162.10,    70.3694,   112.05,    217.309,   -60.79,          0,     0.00,    162.854,  -162.68
Line.671680, 0.00364571,    92.12, 0.00348759,   -39.61, 0.00305366,  -148.78,          0,     0.00, 0.000173868,  -110.07, 1.01685E-012,    26.57, 2.27374E-012,  -143.13, 1.81899E-012,   180.00,          0,     0.00, 2.87607E-012,  -161.57
Line.632633,     64.649,   -36.75,    49.1793,  -158.20,    50.0197,    81.33,          0,     0.00,    15.5993,   -28.73,    64.6498,   143.25,    49.1801,    21.80,    50.0208,   -98.67,          0,     0.00,    15.5992,   151.27
Line.632645,    52.0942,    58.73,    114.842,  -141.89,          0,     0.00,          0,     0.00,     68.581,  -157.40,    52.0952,  -121.27,    114.842,    38.11,          0,     0.00,          0,     0.00,    68.5807,    22.60
Line.645646,    52.0952,    58.73,    52.0956,  -121.27,          0,     0.00,          0,     0.00, 0.000525023,   -91.29,    52.0957,  -121.27,    52.0957,    58.73,          0,     0.00,          0,     0.00, 7.71732E-012,    45.00
Line.692675,    162.308,     3.59,    71.9263,   -48.65,    97.6275,   124.87,          0,     0.00,    157.902,    13.28,    162.305,  -176.42,    71.9042,   131.34,    97.6247,   -55.14,          0,     0.00,      157.9,  -166.72
Line.671684,    51.6483,   -37.30,    58.6467,   132.08,          0,     0.00,          0,     0.00,     12.361,    81.70,    51.6487,   142.70,    58.6466,   -47.93,          0,     0.00,          0,     0.00,    12.3608,   -98.30
Line.684611,    58.6466,   132.07,          0,     0.00,          0,     0.00,          0,     0.00,    58.6466,   132.07,    58.6464,   -47.93,          0,     0.00,          0,     0.00,          0,     0.00,    58.6464,   -47.93
Line.684652,    51.6487,   -37.30,          0,     0.00,          0,     0.00,          0,     0.00,    51.6487,   -37.30,    51.6668,   142.67,          0,     0.00,          0,     0.00,          0,     0.00,    51.6668,   142.67
Capacitor.CAP1,    83.6519,    86.30,     87.694,   -31.10,    83.1462,  -152.41,          0,     0.00,    6.80878,    -2.80,    83.6519,   -93.70,     87.694,   148.90,    83.1462,    27.59,          0,     0.00,    6.80878,   177.20
Capacitor.CAP2,    41.5733,  -152.62,          0,     0.00,          0,     0.00,          0,     0.00,    41.5733,  -152.62,    41.5733,    27.38,          0,     0.00,          0,     0.00,          0,     0.00,    41.5733,    27.38
Transformer.SUB,    9.24776,     6.25,    10.8151,   -96.88,    12.5322,   129.06,          0,     0.00, 4.1159E-011,  -135.00,    329.089,   158.00,    218.265,    51.78,     350.33,   -77.97,    108.241,    26.25, 5.0369E-009,  -146.31
Transformer.XFM1,    64.6498,   -36.75,    49.1801,  -158.20,    50.0208,    81.33,    15.5992,   151.27, 8.43241E-007,  -171.17,    560.298,   143.25,    426.227,    21.80,    433.513,   -98.67,    135.193,   -28.73, 8.05153E-006,   178.72
Transformer.REGFASEA,    329.089,   -22.00,    329.089,   158.00,          0,     0.00,          0,     0.00, 0.00034748,   -90.00,    315.295,   158.00,    315.295,   -22.00,          0,     0.00,          0,     0.00, 0.000362674,   -90.00
Transformer.REGFASEB,    218.265,  -128.22,    218.265,    51.78,          0,     0.00,          0,     0.00, 0.000347484,   150.00,     211.65,    51.78,     211.65,  -128.22,          0,     0.00,          0,     0.00, 0.00035834,   150.00
Transformer.REGFASEC,     350.33,   102.03,     350.33,   -77.97,          0,     0.00,          0,     0.00, 0.000347481,    30.00,    335.645,   -77.97,    335.645,   102.03,          0,     0.00,          0,     0.00, 0.000362675,    30.00
Line.671692,    176.684,   -10.43,    71.9263,   -48.65,    139.699,   118.94,          0,     0.00,    157.902,    13.28,    176.684,   169.57,    71.9263,   131.35,    139.699,   -61.06,          0,     0.00,    157.902,  -166.72
Load.671,    178.505,   -32.01,    178.529,  -151.99,     178.56,    87.99,          0,     0.00, 1.42109E-014,   180.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.634A,    1422.64,   -36.75,    1422.64,   143.25,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.634B,    1082.18,  -158.20,    1082.18,    21.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.634C,    1100.79,    81.33,    1100.79,   -98.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.645,    174.124,  -157.40,    174.124,    22.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.646,    132.272,  -121.27,    132.272,    58.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.692,    111.149,   105.60,    111.149,   -74.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.675A,     439.02,   -25.10,     439.02,   154.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.675B,    73.4508,  -162.53,    73.4508,    17.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.675C,    304.608,    81.42,    304.608,   -98.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.611,    159.194,    92.18,    159.194,   -87.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.652,    131.183,   -37.33,    131.183,   142.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.670A,    16.3929,   -32.73,    16.3929,   147.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.670B,    62.0845,  -150.87,    62.0845,    29.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.670C,    113.418,    88.03,    113.418,   -91.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
PVSystem.PV_0,          0,     0.00,    132.045,    58.93,    130.681,   -61.40,    130.727,   179.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
PVSystem.PV_1,    199.488,    59.07,    196.322,   -61.42,    196.448,   179.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
