hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -1.21613E-017, 0.178149, 1.42109E-017, 0.178149, -1.42109E-017, 0.178149, 0, 0
2, 0.00000, -8.24384E-018, 0.119015, 1.42109E-017, 0.119015, 7.10543E-018, 0.119015, 0, 0
3, 0.00000, -5.1801E-018, 0.0795098, -1.42109E-017, 0.0795098, 2.13163E-017, 0.0795098, 0, 0
4, 0.00000, 9.14904E-019, 0.0531178, -3.55271E-018, 0.0531178, -7.10543E-018, 0.0531178, 0, 0
5, 0.00000, -1.12581E-018, 0.0271963, -5.32907E-018, 0.0271963, 0, 0.0271963, 0, 0
6, 0.00000, 4.38045E-019, 0.0217571, 0, 0.0217571, -1.77636E-018, 0.0217571, 0, 0
7, 0.00000, 1.79429E-019, 0.0174056, 8.88178E-019, 0.0174056, -3.55271E-018, 0.0174056, 0, 0
8, 0.00000, 7.34954E-020, 0.0139245, -8.88178E-019, 0.0139245, 0, 0.0139245, 0, 0
9, 0.00000, -100, 50.2489, -100, 50.2489, -100, 50.2489, 0, 0
10, 0.00000, -166.667, 82.592, -166.667, 82.592, -166.667, 82.592, 0, 0
11, 0.00000, -266.667, 129.472, -266.667, 129.472, -266.667, 129.472, 0, 0
12, 0.00000, -300, 144.679, -300, 144.679, -300, 144.679, 0, 0
13, 0.00000, -333.333, 33.375, -333.333, 33.375, -333.333, 33.375, 0, 0
14, 0.00000, -333.333, 33.375, -333.333, 33.375, -333.333, 33.375, 0, 0
15, 0.00000, -330, 57.6327, -330, 57.6327, -330, 57.6327, 0, 0
16, 0.00000, -300, 144.679, -300, 144.679, -300, 144.679, 0, 0
17, 0.00000, -233.333, 114.076, -233.333, 114.076, -233.333, 114.076, 0, 0
18, 0.00000, -133.333, 66.5525, -133.333, 66.5525, -133.333, 66.5525, 0, 0
19, 0.00000, 5.32074E-017, 1.16779, 0, 1.16779, -1.13687E-016, 1.16779, 0, 0
20, 0.00000, -1.63619E-017, 0.780121, -5.68434E-017, 0.780121, -5.68434E-017, 0.780121, 0, 0
21, 0.00000, -1.39055E-017, 0.521155, -5.68434E-017, 0.521155, -8.52651E-017, 0.521155, 0, 0
22, 0.00000, -3.56763E-017, 0.348159, -5.68434E-017, 0.348159, 0, 0.348159, 0, 0
23, 0.00000, 1.31943E-017, 0.23259, 1.42109E-017, 0.23259, 2.84217E-017, 0.23259, 0, 0
24, 0.00000, -1.77696E-017, 0.155385, -1.42109E-017, 0.155385, 0, 0.155385, 0, 0
