Nome_ID,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,Vsource.source,A,-1.69883,-1.67825,-1.6627,-1.64317,-1.63369,-1.63761,-1.60851,-1.61726,-1.61433,-1.60101,-1.60463,-1.60626,-1.59933,-1.60595,-1.59085,-1.57861,-1.59066,-1.59756,-1.58944,-1.63039,-1.65688,-1.78381,-1.96033,-1.8868,-1.95136,-1.76243,-1.69887,-1.70912,-1.80059,-1.78163,-1.70835,-1.64015,-1.65792,-1.65577,-1.67955,-1.65527,-1.65516,-1.7001,-1.63013,-1.65232,-1.61304,-1.67802,-1.69027,-1.7906,-1.79077,-1.7399,-1.7962,-1.7299,-1.78507,-1.76296,-1.71651,-1.70605,-1.71765,-1.70388,-1.71959,-1.70505,-1.71594,-1.7485,-1.73365,-1.70888,-1.67914,-1.72714,-1.71713,-1.74305,-1.77741,-1.78607,-1.76573,-1.81327,-1.80657,-1.83372,-1.93884,-2.03956,-2.1468,-2.10054,-2.16984,-2.07459,-2.09926,-2.09576,-2.01938,-2.01601,-1.98332,-1.97099,-1.93207,-1.95659,-1.90715,-1.83622,-1.8762,-1.87568,-1.90104,-1.85737,-1.81445,-1.79559,-1.80265,-1.80861,-1.72997,-1.69885,
2,1,Line._abcn_l01-sec,A,0.922063,0.922125,0.922094,0.922182,0.922201,0.922138,0.922277,0.922183,0.922221,0.922271,0.922264,0.922202,0.92226,0.922212,0.922284,0.922321,0.922197,0.92227,0.922224,0.922168,0.922186,0.921818,0.921166,0.922048,0.921878,0.92232,0.9226,0.922571,0.922025,0.921955,0.922361,0.922751,0.922648,0.922701,0.922392,0.922573,0.922514,0.922443,0.92318,0.922822,0.922961,0.922489,0.92245,0.922295,0.922439,0.922396,0.922196,0.922271,0.92216,0.922123,0.92219,0.922236,0.922292,0.922292,0.922194,0.922366,0.922318,0.922174,0.922188,0.922296,0.922507,0.922246,0.922338,0.92224,0.922189,0.922246,0.922027,0.921987,0.922284,0.922415,0.921768,0.921507,0.920733,0.921006,0.920449,0.920893,0.920761,0.920756,0.921235,0.92115,0.921382,0.921345,0.921498,0.921342,0.921517,0.921743,0.921575,0.921575,0.921371,0.921604,0.921783,0.921824,0.92175,0.921739,0.921983,0.922071,
3,1,Line._cn_l02-ramal,A,-9.55296E-07,-9.55462E-07,-9.55927E-07,-9.55963E-07,-9.56086E-07,-9.56276E-07,-9.56272E-07,-9.56469E-07,-9.56422E-07,-9.56433E-07,-9.56486E-07,-9.56626E-07,-9.56531E-07,-9.56611E-07,-9.5655E-07,-9.56588E-07,-9.56752E-07,-9.56521E-07,-9.56739E-07,-9.56266E-07,-9.55516E-07,-9.54191E-07,-9.52333E-07,-9.52922E-07,-9.52428E-07,-9.54268E-07,-9.54578E-07,-9.54561E-07,-9.54127E-07,-9.54647E-07,-9.55166E-07,-9.54855E-07,-9.54823E-07,-9.55093E-07,-9.55145E-07,-9.54602E-07,-9.54996E-07,-9.54528E-07,-9.53706E-07,-9.54555E-07,-9.54202E-07,-9.54647E-07,-9.54046E-07,-9.52605E-07,-9.5237E-07,-9.53371E-07,-9.53613E-07,-9.54262E-07,-9.53474E-07,-9.54354E-07,-9.54924E-07,-9.54799E-07,-9.5461E-07,-9.5407E-07,-9.5468E-07,-9.54286E-07,-9.54513E-07,-9.54439E-07,-9.54561E-07,-9.54575E-07,-9.54242E-07,-9.54304E-07,-9.54428E-07,-9.54283E-07,-9.53843E-07,-9.53461E-07,-9.53928E-07,-9.52711E-07,-9.51819E-07,-9.49063E-07,-9.47017E-07,-9.45463E-07,-9.45952E-07,-9.4628E-07,-9.46159E-07,-9.46471E-07,-9.471E-07,-9.47297E-07,-9.47591E-07,-9.48288E-07,-9.47942E-07,-9.48466E-07,-9.49423E-07,-9.50005E-07,-9.50233E-07,-9.50242E-07,-9.50798E-07,-9.51421E-07,-9.5172E-07,-9.52235E-07,-9.52544E-07,-9.53591E-07,-9.53902E-07,-9.53951E-07,-9.54929E-07,-9.55296E-07,
4,1,Line._abcn_l03-sec,A,0.839264,0.83908,0.838833,0.838655,0.838532,0.838554,0.838324,0.838367,0.838301,0.838205,0.83818,0.83824,0.838196,0.838215,0.838141,0.838074,0.838195,0.838211,0.838175,0.838415,0.838763,0.840351,0.844489,0.843111,0.844921,0.840166,0.839195,0.839429,0.841048,0.84118,0.839408,0.838644,0.838685,0.838567,0.838863,0.838933,0.838853,0.839363,0.838886,0.838666,0.83888,0.83929,0.839819,0.841087,0.841057,0.840406,0.840948,0.840111,0.840927,0.840334,0.839575,0.839435,0.839752,0.840302,0.839931,0.83992,0.839801,0.840202,0.839989,0.839692,0.839536,0.839918,0.839454,0.839864,0.840344,0.840574,0.84104,0.84201,0.841433,0.843775,0.848812,0.849982,0.852006,0.852392,0.854891,0.855042,0.854044,0.853526,0.850953,0.850101,0.849132,0.848764,0.84706,0.846438,0.846016,0.845921,0.845444,0.844525,0.845066,0.843684,0.842613,0.841368,0.841187,0.841149,0.839829,0.839279,
5,1,Line._abcn_l04-sec,A,-1.34015E-06,-1.34034E-06,-1.34131E-06,-1.34113E-06,-1.34151E-06,-1.34157E-06,-1.34178E-06,-1.34199E-06,-1.34203E-06,-1.34223E-06,-1.3422E-06,-1.34227E-06,-1.34219E-06,-1.34236E-06,-1.34236E-06,-1.34251E-06,-1.34267E-06,-1.34197E-06,-1.34261E-06,-1.34196E-06,-1.34113E-06,-1.33925E-06,-1.33523E-06,-1.33225E-06,-1.33029E-06,-1.33643E-06,-1.33795E-06,-1.3372E-06,-1.33561E-06,-1.33605E-06,-1.33813E-06,-1.33914E-06,-1.33912E-06,-1.33897E-06,-1.33935E-06,-1.33906E-06,-1.33923E-06,-1.33795E-06,-1.33775E-06,-1.33881E-06,-1.33832E-06,-1.33824E-06,-1.33763E-06,-1.33553E-06,-1.33539E-06,-1.33691E-06,-1.33548E-06,-1.33758E-06,-1.33595E-06,-1.3372E-06,-1.33869E-06,-1.33882E-06,-1.33758E-06,-1.33735E-06,-1.33791E-06,-1.33747E-06,-1.33764E-06,-1.33704E-06,-1.33767E-06,-1.33807E-06,-1.33801E-06,-1.33771E-06,-1.33842E-06,-1.33752E-06,-1.33668E-06,-1.33619E-06,-1.33664E-06,-1.33529E-06,-1.33591E-06,-1.3337E-06,-1.33076E-06,-1.32991E-06,-1.32856E-06,-1.32768E-06,-1.32685E-06,-1.32709E-06,-1.32771E-06,-1.32806E-06,-1.32968E-06,-1.3305E-06,-1.33117E-06,-1.33167E-06,-1.3328E-06,-1.33353E-06,-1.33353E-06,-1.3341E-06,-1.33435E-06,-1.33505E-06,-1.33481E-06,-1.33557E-06,-1.33677E-06,-1.33767E-06,-1.33815E-06,-1.33769E-06,-1.33963E-06,-1.34015E-06,
6,1,Line._abcn_l05-sec,A,0.236831,0.236854,0.236879,0.236895,0.236911,0.2369,0.236934,0.236922,0.236931,0.236946,0.236944,0.236934,0.236943,0.236939,0.236952,0.236962,0.236943,0.236938,0.236947,0.236917,0.236891,0.236705,0.236283,0.236459,0.236311,0.236732,0.236848,0.236808,0.236637,0.236655,0.236819,0.236919,0.236904,0.236904,0.236872,0.236889,0.236886,0.236821,0.236921,0.236918,0.236914,0.236842,0.236805,0.23666,0.236678,0.236754,0.236655,0.236771,0.236665,0.236727,0.236805,0.236819,0.23678,0.236765,0.236776,0.236786,0.236787,0.236734,0.236765,0.236801,0.236833,0.236773,0.236823,0.236764,0.236714,0.236699,0.236678,0.236581,0.236659,0.236482,0.236019,0.235813,0.235521,0.235584,0.235325,0.2355,0.235531,0.235559,0.235817,0.235865,0.235953,0.23599,0.236156,0.236163,0.236242,0.236328,0.236314,0.236374,0.236306,0.236447,0.236552,0.236642,0.236642,0.236635,0.236786,0.236833,
7,1,Line._abcn_l06-sec,A,0.684532,0.684577,0.684618,0.684649,0.684681,0.684646,0.684738,0.684693,0.684714,0.684755,0.684745,0.684716,0.684745,0.684725,0.684769,0.684801,0.684738,0.684741,0.68475,0.684681,0.684656,0.68438,0.683855,0.683859,0.683571,0.684389,0.684673,0.684604,0.684168,0.684199,0.68456,0.684867,0.684789,0.684811,0.684652,0.684757,0.684732,0.68459,0.685045,0.684879,0.68497,0.684655,0.684603,0.68431,0.684378,0.684513,0.684249,0.684491,0.684281,0.684363,0.684509,0.684541,0.684484,0.68451,0.684468,0.684538,0.684511,0.684376,0.684438,0.684531,0.68466,0.684472,0.684559,0.684435,0.684333,0.684327,0.684302,0.684167,0.684351,0.684301,0.683845,0.683515,0.682957,0.68302,0.682737,0.683129,0.683085,0.683113,0.683509,0.683552,0.683723,0.683771,0.683906,0.68387,0.683949,0.684195,0.684075,0.684091,0.683987,0.684106,0.684284,0.684302,0.684296,0.684226,0.684479,0.684538,
8,1,Line._an_l07-ramal,A,0.102186,0.102198,0.102212,0.102221,0.102229,0.102224,0.102242,0.102236,0.102241,0.102249,0.102249,0.102243,0.102247,0.102246,0.102252,0.102258,0.102247,0.102245,0.10225,0.102234,0.102218,0.102119,0.101882,0.101967,0.101875,0.10213,0.102194,0.102172,0.102074,0.10208,0.102178,0.102233,0.102226,0.102227,0.10221,0.102216,0.102216,0.102181,0.102231,0.102233,0.102226,0.10219,0.102167,0.10209,0.102099,0.102138,0.102086,0.102148,0.102091,0.102126,0.102171,0.102179,0.102157,0.102142,0.102153,0.102157,0.10216,0.102131,0.102148,0.102168,0.102183,0.102153,0.102182,0.10215,0.102123,0.102113,0.102095,0.102042,0.10209,0.101986,0.101718,0.10163,0.101473,0.101482,0.101335,0.101394,0.101426,0.101446,0.101595,0.101626,0.101681,0.1017,0.101794,0.101807,0.101842,0.101876,0.101879,0.101919,0.10188,0.10196,0.102021,0.102077,0.102079,0.102076,0.102159,0.102186,
9,1,Line._bcn_l08-ramal,A,0.040609,0.0406053,0.0406027,0.0405984,0.0405976,0.040597,0.0405927,0.0405938,0.040594,0.0405923,0.0405928,0.040592,0.040591,0.0405926,0.0405899,0.0405878,0.040589,0.0405896,0.0405889,0.0405975,0.0406051,0.0406273,0.0406563,0.0406243,0.0406311,0.0406125,0.0406066,0.0406051,0.0406163,0.0406097,0.0406046,0.0406004,0.0406034,0.0405999,0.0406046,0.040606,0.0406016,0.0406075,0.0406089,0.0406047,0.0405997,0.0406044,0.0406119,0.0406389,0.040642,0.0406278,0.0406201,0.0406143,0.0406238,0.0406154,0.0406093,0.0406096,0.0406072,0.0406113,0.0406088,0.0406086,0.0406088,0.0406116,0.0406112,0.0406091,0.0406091,0.0406138,0.0406132,0.0406143,0.0406197,0.0406235,0.0406195,0.0406415,0.040664,0.0407838,0.0409088,0.0409504,0.0408591,0.0408681,0.0408663,0.0408996,0.0408503,0.0408392,0.0408461,0.0408108,0.0408408,0.0408198,0.0407745,0.0407405,0.0407389,0.0407609,0.0407265,0.0406991,0.0406878,0.0406698,0.0406669,0.040637,0.0406328,0.0406285,0.0406154,0.040609,
10,1,Line._abcn_l09-sec,A,0.1346,0.134613,0.134628,0.134637,0.134646,0.13464,0.13466,0.134653,0.134658,0.134667,0.134666,0.13466,0.134665,0.134663,0.13467,0.134676,0.134665,0.134662,0.134668,0.13465,0.134635,0.134526,0.13428,0.134383,0.134296,0.134543,0.13461,0.134587,0.134487,0.134498,0.134593,0.134651,0.134642,0.134642,0.134624,0.134633,0.134632,0.134594,0.134651,0.13465,0.134647,0.134606,0.134584,0.1345,0.13451,0.134554,0.134497,0.134565,0.134503,0.13454,0.134585,0.134593,0.13457,0.134561,0.134568,0.134574,0.134574,0.134544,0.134562,0.134582,0.134601,0.134566,0.134595,0.134561,0.134532,0.134523,0.13451,0.134454,0.134498,0.134394,0.134123,0.134004,0.133835,0.13387,0.133719,0.133818,0.133838,0.133855,0.134005,0.134034,0.134085,0.134107,0.134204,0.134208,0.134254,0.134303,0.134296,0.134332,0.134292,0.134375,0.134436,0.134489,0.13449,0.134485,0.134574,0.134601,
