Nome_ID,Simulation,Name,Bus,Measurement,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,pv_0,bus_33998182_001,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,pv_0,bus_33998182_001,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,pv_0,bus_33998182_001,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.17,0.62,0.62,0.62,0.62,0.82,0.82,0.82,0.82,0.93,0.93,0.93,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0.77,0.77,0.77,0.77,0.6,0.6,0.6,0.6,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,pv_1,bus_33998182_003,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,pv_1,bus_33998182_003,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,pv_1,bus_33998182_003,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.17,0.62,0.62,0.62,0.62,0.82,0.82,0.82,0.82,0.93,0.93,0.93,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0.77,0.77,0.77,0.77,0.6,0.6,0.6,0.6,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1,pv_2,bus_xfmr_sec_33998182,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,pv_2,bus_xfmr_sec_33998182,kvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1,pv_2,bus_xfmr_sec_33998182,irradNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.17,0.62,0.62,0.62,0.62,0.82,0.82,0.82,0.82,0.93,0.93,0.93,0.93,0.99,0.99,0.99,0.99,1,1,1,1,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,0.77,0.77,0.77,0.77,0.6,0.6,0.6,0.6,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1,pv_3,bus_33998182_032,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
